Date,Timestamp,Member Count,EXP,Level,Position
"Mar 15, 2022",1647332382363,49,463990,338.90062508596816,8
"Mar 16, 2022",1647388800050,49,466330,339.709964264616,8
"Mar 17, 2022",1647477392635,49,471000,341.31912668560585,8
"Mar 18, 2022",1647564213076,49,475650,342.9134779663941,8
"Mar 19, 2022",1647650511617,49,479690,344.2923522705555,8
"Mar 20, 2022",1647734400017,50,483720,345.6620315086718,8
"Mar 21, 2022",1647820800016,49,486550,346.6204532170505,8
"Mar 22, 2022",1647907200015,48,488910,347.41756978875924,8
"Mar 23, 2022",1647993600927,47,490860,348.07475159282615,8
"Mar 24, 2022",1648080000086,48,493060,348.8146198938973,8
"Mar 25, 2022",1648180246329,47,495100,349.4992038206998,8
"Mar 26, 2022",1648252800016,47,497010,350.1388830800687,8
"Mar 27, 2022",1648339200024,47,499350,350.92089832910574,8
"Mar 28, 2022",1648425600013,50,502160,351.8575640339311,8
"Mar 29, 2022",1648512000041,49,504950,352.78496995500376,8
"Mar 30, 2022",1648598400019,49,507980,353.7892509117573,8
"Mar 31, 2022",1648684800038,49,510740,354.70143408500405,8
"Apr 01, 2022",1648771200009,49,513890,355.7395017698584,8
"Apr 02, 2022",1648857600033,50,517720,356.9973774689561,8
"Apr 03, 2022",1648944000009,50,520470,357.8976803033367,8
"Apr 04, 2022",1649030400004,48,523390,358.8510347538209,8
"Apr 05, 2022",1649116800005,47,524680,359.2713601552868,8
"Apr 06, 2022",1649203200010,47,527380,360.14943931941644,8
"Apr 07, 2022",1649289600017,47,529480,360.8308346748477,8
"Apr 08, 2022",1649376000008,47,531130,361.36526797566074,8
"Apr 09, 2022",1649462400033,46,533280,362.0604049686897,8
"Apr 10, 2022",1649548800005,45,535880,362.8991638731969,8
"Apr 11, 2022",1649635200009,45,538390,363.70695794719734,8
"Apr 12, 2022",1649721600038,45,540760,364.4679667679359,8
"Apr 13, 2022",1649808000024,46,543200,365.249709976677,8
"Apr 14, 2022",1649894400008,48,546290,366.23718564373837,8
"Apr 15, 2022",1649980800008,49,550300,367.51450685309396,8
"Apr 16, 2022",1650067200008,49,552890,368.33703408037115,8
"Apr 17, 2022",1650153600008,49,555620,369.2019365196736,8
"Apr 18, 2022",1650240000164,49,558110,369.9889501027779,8
"Apr 19, 2022",1650326400008,49,560740,370.8183067665859,8
"Apr 20, 2022",1650412800005,48,563140,371.57343625653033,8
"Apr 21, 2022",1650499200003,48,565630,372.35518201406876,8
"Apr 22, 2022",1650630486858,47,570860,373.9915716186454,8
"Apr 23, 2022",1650674629337,47,571270,374.1195366628494,8
"Apr 24, 2022",1650757797593,47,574020,374.9766529329541,8
"Apr 25, 2022",1650861272774,47,576720,375.8161874773566,8
"Apr 26, 2022",1650931200004,47,579000,376.52359655747404,8
"Apr 27, 2022",1651017600003,47,580720,377.0563336076028,8
"Apr 28, 2022",1651104000004,47,582000,377.4522765845874,8
"Apr 29, 2022",1651190400009,47,583120,377.79836920901636,8
"Apr 30, 2022",1651276800007,47,585590,378.56045269871163,8
"May 01, 2022",1651363200003,46,588270,379.38551061014704,8
"May 02, 2022",1651449600013,46,590310,380.0122791470457,8
"May 03, 2022",1651536000006,45,591640,380.42032386042536,8
"May 04, 2022",1651622400008,46,593630,381.03000029080715,8
"May 05, 2022",1651708800005,46,595080,381.4735927428785,8
